2000000000;5.565103888512e-01;-5.710963010788e-01
2002500000;5.241237282753e-01;-6.082923412323e-01
2005000000;4.912542700768e-01;-6.322957277298e-01
2007500000;4.622635245323e-01;-6.545825600624e-01
2010000000;4.246477484703e-01;-6.756322383881e-01
2012500000;3.926772475243e-01;-6.957803964615e-01
2015000000;3.575893938541e-01;-7.145529389381e-01
2017500000;3.199642896652e-01;-7.332292795181e-01
2020000000;2.950250804424e-01;-7.435197234154e-01
2022500000;2.444991618395e-01;-7.592219114304e-01
2025000000;2.115244120359e-01;-7.705969810486e-01
2027500000;1.869449615479e-01;-7.767388224602e-01
2030000000;1.423655748367e-01;-7.847848534584e-01
2032500000;1.018349006772e-01;-7.866296768188e-01
2035000000;7.032456994057e-02;-7.885144352913e-01
2037500000;3.609358519316e-02;-7.930306196213e-01
2040000000;2.124641090631e-03;-7.941202521324e-01
2042500000;-3.348616883159e-02;-7.885904908180e-01
2045000000;-7.611092925072e-02;-7.837736606598e-01
2047500000;-1.014918237925e-01;-7.782367467880e-01
2050000000;-1.365577280521e-01;-7.743112444878e-01
2052500000;-1.623568385839e-01;-7.630847692490e-01
2055000000;-2.009671628475e-01;-7.557696700096e-01
2057500000;-2.269550114870e-01;-7.476289272308e-01
2060000000;-2.605603337288e-01;-7.325136661530e-01
2062500000;-2.891366481781e-01;-7.210228443146e-01
2065000000;-3.206099867821e-01;-7.034918665886e-01
2067500000;-3.416858613491e-01;-6.911751031876e-01
2070000000;-3.734681606293e-01;-6.750507354736e-01
2072500000;-3.939432501793e-01;-6.592848896980e-01
2075000000;-4.247936010361e-01;-6.388660669327e-01
2077500000;-4.379756152630e-01;-6.302968859673e-01
2080000000;-4.695488512516e-01;-6.032621264458e-01
2082500000;-4.897154569626e-01;-5.803204774857e-01
2085000000;-5.056110024452e-01;-5.643289089203e-01
2087500000;-5.313304662704e-01;-5.397653579712e-01
2090000000;-5.517573356628e-01;-5.144451260567e-01
2092500000;-5.639845132828e-01;-4.944110512733e-01
2095000000;-5.816649794579e-01;-4.673886895180e-01
2097500000;-6.001245379448e-01;-4.402166008949e-01
2100000000;-6.129947304726e-01;-4.145492911339e-01
2102500000;-6.258835792542e-01;-3.913539648056e-01
2105000000;-6.357569694519e-01;-3.728494346142e-01
2107500000;-6.471748352051e-01;-3.470030426979e-01
2110000000;-6.562059521675e-01;-3.236883878708e-01
2112500000;-6.719470620155e-01;-2.931054234505e-01
2115000000;-6.797863245010e-01;-2.615956962109e-01
2117500000;-6.878294348717e-01;-2.361729145050e-01
2120000000;-6.908540129662e-01;-2.158129513264e-01
2122500000;-6.977909803391e-01;-1.896615326405e-01
2125000000;-7.019548416138e-01;-1.651387214661e-01
2127500000;-7.043307423592e-01;-1.399839222431e-01
2130000000;-7.109413743019e-01;-1.090392395854e-01
2132500000;-7.125089168549e-01;-9.002982825041e-02
2135000000;-7.125061750412e-01;-6.618195772171e-02
2137500000;-7.117980718613e-01;-3.132336586714e-02
2140000000;-7.132017612457e-01;2.029687166214e-03
2142500000;-7.124535441399e-01;1.767560094595e-02
2145000000;-7.113895416260e-01;4.143527895212e-02
2147500000;-7.063851952553e-01;7.289506494999e-02
2150000000;-7.065038681030e-01;1.002006605268e-01
2152500000;-7.047832608223e-01;1.208008825779e-01
2155000000;-6.931814551353e-01;1.500638127327e-01
2157500000;-6.804993152618e-01;1.840007752180e-01
2160000000;-6.796761751175e-01;1.891427636147e-01
2162500000;-6.671570539474e-01;2.307076454163e-01
2165000000;-6.620010733604e-01;2.495679855347e-01
2167500000;-6.531528830528e-01;2.705916464329e-01
2170000000;-6.328253746033e-01;3.103809654713e-01
2172500000;-6.155362725258e-01;3.341143727303e-01
2175000000;-6.033124327660e-01;3.550992608070e-01
2177500000;-6.070638298988e-01;3.581900298595e-01
2180000000;-5.820972919464e-01;3.983454406261e-01
2182500000;-5.605908036232e-01;4.154290854931e-01
2185000000;-5.477753877640e-01;4.354723393917e-01
2187500000;-5.331491231918e-01;4.601228237152e-01
2190000000;-5.130193233490e-01;4.797502458096e-01
2192500000;-4.970814585686e-01;4.985562264919e-01
2195000000;-4.711736440659e-01;5.169583559036e-01
2197500000;-4.426831305027e-01;5.372427105904e-01
2200000000;-4.343356192112e-01;5.504623055458e-01
2202500000;-4.074608087540e-01;5.736162662506e-01
2205000000;-3.869699835777e-01;5.851005315781e-01
2207500000;-3.490066528320e-01;6.051217913628e-01
2210000000;-3.335295021534e-01;6.216576099396e-01
2212500000;-2.990631461143e-01;6.307740807533e-01
2215000000;-2.787347137928e-01;6.421110033989e-01
2217500000;-2.360290437937e-01;6.589605808258e-01
2220000000;-2.113394886255e-01;6.728575229645e-01
2222500000;-1.773730814457e-01;6.783559322357e-01
2225000000;-1.473662555218e-01;6.819220781326e-01
2227500000;-1.165231987834e-01;6.894760727882e-01
2230000000;-9.028545022011e-02;6.933390498161e-01
2232500000;-5.575856566429e-02;6.992688179016e-01
2235000000;-1.362062618136e-02;7.013456225395e-01
2237500000;2.591276541352e-02;6.999670267105e-01
2240000000;4.508296027780e-02;7.022815346718e-01
2242500000;8.176144957542e-02;6.989110708237e-01
2245000000;1.206791102886e-01;6.902569532394e-01
2247500000;1.563868522644e-01;6.809476613998e-01
2250000000;1.846093535423e-01;6.788592338562e-01
2252500000;2.246392369270e-01;6.579482555389e-01
2255000000;2.542660236359e-01;6.539534926414e-01
2257500000;2.752194404602e-01;6.456698179245e-01
2260000000;3.034664392471e-01;6.290446519852e-01
2262500000;3.513365983963e-01;5.983625054359e-01
